District,School,County,Type,Enrollment,Grades,2021/09/18,2021/10/02,2021/10/16,2021/10/30,2021/11/13,2021/11/27,2021/12/11,2021/12/25,2022/01/08,2022/01/22,2022/02/05
Detroit Lakes Public School Dist.,Adventist Christian School,Becker,Private,16,351,0,0,0,0,0,0,0,0,0,0,0
Detroit Lakes Public School Dist.,Faith Christian School,Becker,Private,28,255,0,0,0,0,0,0,0,0,0,0,0
Bemidji Public School District,Heartland Christian Academy,Beltrami,Private,81,8191,0,0,0,0,0,0,0,0,0,0,0
Bemidji Public School District,St. Philips,Beltrami,Private,306,511,0,0,0,0,0,0,0,0,0,0,0
Bemidji Public School District,St. Mark's,Beltrami,Private,25,511,0,0,0,0,0,0,0,0,0,0,0
Red Lake Public School District,St. Mary's Mission,Beltrami,Private,115,511,0,0,0,0,0,0,0,0,0,0,0
Sauk Rapids-rice Public Schools,Petra Lutheran,Benton,Private,21,255,0,0,0,0,0,0,0,0,0,0,0
Sauk Rapids-rice Public Schools,Montessori School Of Sauk Rapids,Benton,Private,3,1,0,0,0,0,0,0,0,0,0,0,0
Foley Public School District,St. John,Benton,Private,74,119,0,0,0,0,0,0,0,0,0,0,0
Mankato Public School District,Grace Christian,Blue Earth,Private,38,7647,0,0,0,0,0,0,0,0,0,0,0
Mankato Public School District,Immanuel Lutheran,Blue Earth,Private,141,8191,0,0,0,0,0,0,0,0,0,0,0
Mankato Public School District,Mount Olive Lutheran,Blue Earth,Private,188,511,0,0,0,0,0,0,0,0,0,0,0
Mankato Public School District,Risen Savior Lutheran School,Blue Earth,Private,79,511,0,0,0,0,0,0,0,0,0,0,0
Mankato Public School District,Concordia Classical Academy,Nicollet,Private,33,511,0,0,0,0,0,0,0,0,0,0,0
Mankato Public School District,Loyola Catholic School,Blue Earth,Private,422,8191,0,0,0,5,10,10,15,15,15,15,15
Sleepy Eye Public School District,St. Mary's High School,Brown,Private,125,8064,0,0,0,0,0,0,0,0,0,0,0
Sleepy Eye Public School District,St. Mary's Elementary,Brown,Private,131,127,0,0,0,0,0,0,0,0,0,0,0
Sleepy Eye Public School District,Grace Lutheran School,Brown,Private,11,253,0,0,0,0,0,0,0,0,0,0,0
Springfield Public School District,St. Raphael,Brown,Private,65,127,0,0,0,0,0,0,0,0,0,0,0
New Ulm Public School District,Minnesota Valley Lutheran,Nicollet,Private,230,7680,5,5,5,5,5,5,5,5,5,5,5
New Ulm Public School District,St. Paul's Lutheran,Brown,Private,272,511,0,0,0,0,0,0,0,0,0,0,0
New Ulm Public School District,New Ulm Area Catholic Schools Inc.,Brown,Private,380,8191,0,0,0,20,20,20,20,20,20,20,20
Cloquet Public School District,Queen Of Peace,Carlton,Private,59,511,0,0,0,0,0,0,0,0,0,0,0
Central Public School District,Emanuel Lutheran,Carver,Private,64,511,0,0,0,0,0,0,0,0,0,0,0
Central Public School District,St. John's Lutheran,Carver,Private,85,511,0,0,0,0,5,5,5,5,5,5,5
Central Public School District,Zion Lutheran,Carver,Private,41,479,0,0,0,0,0,0,0,0,0,0,0
Waconia Public School District,St. Joseph,Carver,Private,157,511,0,0,0,0,0,0,0,0,0,0,0
Waconia Public School District,Trinity Lutheran,Carver,Private,135,511,0,0,0,0,0,0,0,0,0,0,0
Watertown-mayer Public School Dist,Christ Community,Carver,Private,104,511,0,0,0,0,0,0,0,0,0,0,0
Watertown-mayer Public School Dist,Zion Lutheran,Carver,Private,127,511,0,0,0,0,0,0,0,0,0,0,0
Watertown-mayer Public School Dist,Mayer Lutheran High School,Carver,Private,171,7680,0,0,0,5,5,5,5,5,5,5,5
Eastern Carver County Public School,Guardian Angels School,Carver,Private,64,511,0,0,0,0,0,0,0,0,0,0,0
Eastern Carver County Public School,Jonathan Montessori,Carver,Private,11,1,0,0,0,0,0,0,0,0,0,0,0
Eastern Carver County Public School,St. Hubert Catholic School,Carver,Private,538,511,0,0,0,10,10,10,10,10,10,10,10
Eastern Carver County Public School,St. John's Lutheran School,Carver,Private,148,511,0,0,0,0,0,0,0,0,0,0,0
Eastern Carver County Public School,Chapel Hill Academy,Carver,Private,310,511,0,0,0,5,10,15,15,15,15,20,20
Eastern Carver County Public School,Holy Family Catholic High School,Carver,Private,456,7680,0,0,0,0,5,10,15,15,15,15,15
Eastern Carver County Public School,Step By Step Montessori Of Chaska,Carver,Private,8,1,0,0,0,0,0,0,0,0,0,0,0
Eastern Carver County Public School,Southwest Christian High School,Carver,Private,418,7680,0,0,5,5,5,5,5,5,5,5,5
Eastern Carver County Public School,Breakaway Academy,Carver,Private,252,510,0,0,0,0,0,0,0,0,0,0,0
Walker-hackensack-akeley Schl. Dist,Immanuel Lutheran School,Cass,Private,22,191,0,0,0,0,0,0,0,0,0,0,0
Northland Community Schools,Eagle Country Christian Academy,Cass,Private,2,2048,0,0,0,0,0,0,0,0,0,0,0
North Branch Public Schools,Veritas Academy,Chisago,Private,12,6551,0,0,0,0,0,0,0,0,0,0,0
Moorhead Public School District,Park Christian,Clay,Private,395,8191,0,5,5,5,5,5,5,5,5,5,5
Moorhead Public School District,St. Joseph,Clay,Private,195,511,0,0,0,0,5,5,5,5,5,5,5
Bagley Public School District,Fhl Academy,Clearwater,Private,55,2047,0,0,0,0,0,0,0,0,0,0,0
Mountain Lake Public Schools,Mountain Lake Christian,Cottonwood,Private,81,8191,0,0,0,0,0,0,0,0,0,0,0
Mountain Lake Public Schools,Neuhof School,Cottonwood,Private,15,4698,0,0,0,0,0,0,0,0,0,0,0
Brainerd Public School District,Lake Region Christian,Crow Wing,Private,225,8191,0,0,0,0,0,0,0,0,0,0,0
Brainerd Public School District,St. Francis Of Assisi,Crow Wing,Private,168,511,0,0,0,0,0,0,0,0,0,0,0
Brainerd Public School District,Oak Street Christian School,Crow Wing,Private,13,511,0,0,0,0,0,0,0,0,0,0,0
Burnsville Public School District,St. John The Baptist,Scott,Private,306,511,0,0,0,0,10,10,10,10,10,15,15
Burnsville Public School District,Unity High School,Dakota,Private,37,3584,0,0,0,0,0,0,0,0,0,0,0
Burnsville Public School District,Cyprus Classical Academy,Dakota,Private,50,511,0,0,0,0,0,0,0,0,0,0,0
Burnsville Public School District,One School Global,Dakota,Private,25,8184,0,0,0,0,0,0,0,0,0,0,0
Lakeville Public School District,All Saints School,Dakota,Private,359,511,0,0,0,0,5,5,5,5,5,10,10
Lakeville Public School District,Southview Christian,Dakota,Private,44,511,0,0,0,0,0,0,0,0,0,0,0
Lakeville Public School District,Glory Academy,Dakota,Private,24,1663,0,0,0,0,0,0,0,0,0,0,0
Lakeville Public School District,Christian Heritage Academy,Dakota,Private,170,511,0,0,0,0,0,0,0,0,0,0,0
Rosemount-apple Valley-eagan,Berea Lutheran,Dakota,Private,29,511,0,0,0,0,0,0,0,0,0,0,0
Rosemount-apple Valley-eagan,First Baptist,Dakota,Private,203,8191,0,0,0,0,5,5,5,5,5,5,5
Rosemount-apple Valley-eagan,Good Shepherd Lutheran,Dakota,Private,107,511,0,0,0,0,0,0,0,0,0,0,0
Rosemount-apple Valley-eagan,Faithful Shepherd Catholic,Dakota,Private,418,511,0,0,5,5,5,10,10,10,15,15,15
Rosemount-apple Valley-eagan,St. Joseph's Catholic,Dakota,Private,212,511,0,10,20,20,20,20,20,20,20,20,20
Rosemount-apple Valley-eagan,Heritage Lutheran School,Dakota,Private,10,1,0,0,0,0,0,0,0,0,0,0,0
Rosemount-apple Valley-eagan,Trinity School At River Ridge,Dakota,Private,239,8128,0,0,0,0,0,0,0,0,0,0,0
West St. Paul-mendota Heights-eagan,Visitation School,Dakota,Private,517,8191,0,0,0,0,0,0,5,5,5,10,10
West St. Paul-mendota Heights-eagan,Crown Of Life,Dakota,Private,149,511,0,0,0,0,0,0,0,0,0,0,0
West St. Paul-mendota Heights-eagan,St. Croix Lutheran,Dakota,Private,463,8160,0,0,0,0,5,5,5,5,5,10,10
West St. Paul-mendota Heights-eagan,St. Thomas Academy,Dakota,Private,587,8128,0,0,0,0,0,5,5,5,10,15,15
West St. Paul-mendota Heights-eagan,St. Joseph,Dakota,Private,334,511,0,0,0,0,5,35,35,35,35,35,35
West St. Paul-mendota Heights-eagan,Community Of Saints Regnl Catholic,Dakota,Private,214,511,0,0,0,0,0,0,0,0,0,0,0
West St. Paul-mendota Heights-eagan,Brightmont Academy,Dakota,Private,11,7488,0,0,0,0,0,0,0,0,0,0,0
Hastings Public School District,St. Elizabeth Ann Seton,Dakota,Private,211,511,0,0,0,0,0,0,0,0,0,0,0
Hastings Public School District,St. John The Baptist,Dakota,Private,63,31,0,0,0,0,0,0,0,0,0,0,0
Hastings Public School District,Pine Harbor Christian Academy,Washington,Private,98,511,0,0,0,0,0,0,0,0,0,0,0
Hayfield Public School District,Haven School,Mower,Private,14,6477,0,0,0,0,0,0,0,0,0,0,0
Alexandria Public School District,St. Mary's,Douglas,Private,222,127,0,0,0,0,5,10,10,10,10,10,10
Alexandria Public School District,Zion Lutheran,Douglas,Private,117,511,0,0,0,0,0,0,0,0,0,0,0
Alexandria Public School District,New Testament Christian,Douglas,Private,47,8191,0,0,0,0,0,0,0,0,0,0,0
Osakis Public School District,St. Agnes School,Douglas,Private,39,127,0,0,0,0,0,0,0,0,0,0,0
Albert Lea Public School District,Hollandale Christian,Freeborn,Private,65,511,0,0,0,0,0,0,0,0,0,0,0
Albert Lea Public School District,St. Theodore's El.,Freeborn,Private,51,63,0,0,0,0,0,0,0,0,0,0,0
Cannon Falls Public School District,St. Paul's Lutheran,Goodhue,Private,24,495,0,0,0,0,0,0,0,0,0,0,0
Goodhue Public School District,St. John's Lutheran,Goodhue,Private,36,511,0,0,0,0,0,0,0,0,0,0,0
Red Wing Public School District,St. John's Lutheran,Goodhue,Private,37,511,0,0,0,0,0,0,0,0,0,0,0
Red Wing Public School District,Red Cottage Montessori School,Goodhue,Private,31,63,0,0,0,0,0,0,0,0,0,0,0
Hopkins Public School District,Blake Lower School-hopkins Campus,Hennepin,Private,232,63,0,0,0,0,0,0,0,0,0,0,0
Hopkins Public School District,Blake Middle School,Hennepin,Private,322,448,0,0,0,0,0,0,0,0,0,5,5
Hopkins Public School District,Breck,Hennepin,Private,1122,8191,0,0,0,5,15,15,15,15,15,15,15
Hopkins Public School District,Good Shepherd School,Hennepin,Private,268,127,0,0,0,0,0,0,0,0,0,0,0
Hopkins Public School District,Minnetonka Christian Academy,Hennepin,Private,54,1023,0,0,5,5,5,5,5,5,5,5,5
Hopkins Public School District,International School Of Minnesota,Hennepin,Private,138,8191,0,0,0,0,0,0,0,0,5,5,5
Hopkins Public School District,Notre Dame Academy,Hennepin,Private,212,511,0,0,0,0,0,0,0,0,0,0,0
Hopkins Public School District,Academy Of Whole Learning,Hennepin,Private,71,8189,0,0,0,0,0,0,0,0,0,0,0
Hopkins Public School District,Chesterton Academy Twin Cities,Hennepin,Private,143,7680,0,0,0,0,0,0,0,0,0,0,0
Bloomington Public School District,Nativity Of Mary,Hennepin,Private,294,511,0,0,0,0,0,5,5,5,5,5,5
Bloomington Public School District,Bloomington Lutheran,Hennepin,Private,207,511,0,5,5,5,10,10,10,10,10,10,10
Bloomington Public School District,Ramalynn Montessori Academy,Hennepin,Private,85,511,0,0,0,0,0,0,0,0,0,0,0
Bloomington Public School District,Hand In Hand Christian Montessori,Hennepin,Private,22,63,0,0,0,0,0,0,0,0,0,0,0
Bloomington Public School District,United Christian Academy,Hennepin,Private,256,8191,0,0,0,0,0,0,0,0,0,0,0
Eden Prairie Public School District,Primrose School Of Eden Prairie,Hennepin,Private,9,1,0,0,0,0,0,0,0,0,0,0,0
Edina Public School District,Avail Academy,Hennepin,Private,188,511,0,0,0,10,20,20,20,20,20,20,20
Edina Public School District,Golden Years Montessori,Hennepin,Private,38,1,0,0,0,0,0,0,0,0,0,0,0
Edina Public School District,Our Lady Of Grace,Hennepin,Private,671,511,0,0,10,20,25,35,35,35,35,40,40
Minnetonka Public School District,St. John The Baptist Catholic Mntsr,Hennepin,Private,48,383,0,0,0,0,0,0,0,0,0,0,0
Minnetonka Public School District,Our Savior Lutheran,Hennepin,Private,12,1,0,0,0,0,0,0,0,0,0,0,0
Minnetonka Public School District,St. Therese,Hennepin,Private,176,511,0,0,0,0,0,0,0,0,0,0,0
Minnetonka Public School District,Excelsior Covenant,Hennepin,Private,20,1,0,0,0,0,0,0,0,0,0,0,0
Westonka Public School District,Our Lady Of The Lake,Hennepin,Private,102,511,0,0,0,0,0,0,0,0,0,0,0
Orono Public School District,Holy Name Of Jesus,Hennepin,Private,297,127,0,0,0,5,5,5,5,5,5,5,5
Osseo Public School District,St. Alphonsus,Hennepin,Private,139,511,0,0,0,0,5,5,5,5,5,5,5
Osseo Public School District,St. John's Lutheran,Hennepin,Private,153,511,5,5,5,5,5,5,10,10,10,10,10
Osseo Public School District,St. Vincent De Paul,Hennepin,Private,446,511,0,0,5,5,5,15,15,15,15,25,25
Osseo Public School District,Sb Maranatha Christian Academy,Hennepin,Private,688,8191,5,5,5,5,5,5,5,5,5,5,5
Osseo Public School District,Ave Maria Academy,Hennepin,Private,174,511,0,5,10,10,10,15,15,15,15,15,15
Osseo Public School District,Heritage Christian Academy,Hennepin,Private,386,8191,0,0,0,0,0,5,5,5,5,10,10
Richfield Public School District,Academy Of Holy Angels,Hennepin,Private,631,7680,0,0,0,0,0,0,0,5,10,20,20
Richfield Public School District,Blessed Trinity-nicollet Campus,Hennepin,Private,113,496,0,0,0,0,0,0,0,0,0,0,0
Richfield Public School District,Blessed Trinity-penn Campus,Hennepin,Private,77,15,0,0,0,0,0,0,0,0,0,0,0
Richfield Public School District,Step By Step Montessori,Hennepin,Private,9,1,0,0,0,0,0,0,0,0,0,0,0
Robbinsdale Public School District,St. Raphael Catholic School,Hennepin,Private,115,511,0,0,0,0,0,0,0,0,0,0,0
Robbinsdale Public School District,King Of Grace Lutheran School,Hennepin,Private,170,511,0,0,0,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Sacred Heart School,Hennepin,Private,161,511,0,0,0,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Holy Trinity Lutheran School,Hennepin,Private,72,511,0,0,0,0,0,0,0,0,0,0,0
Robbinsdale Public School District,Rivertree School,Hennepin,Private,127,4095,0,0,0,0,0,0,0,0,0,0,0
St. Anthony-new Brighton Schools,St. Charles Borromeo,Hennepin,Private,267,511,5,5,5,5,10,10,10,10,10,10,10
St. Louis Park Public School Dist.,Benilde - St. Margaret's,Hennepin,Private,1183,8064,0,0,0,0,5,5,5,5,5,5,5
St. Louis Park Public School Dist.,Metropolitan Open School,Hennepin,Private,5,466,0,0,0,0,0,0,0,0,0,0,0
St. Louis Park Public School Dist.,Torah Academy,Hennepin,Private,226,511,0,0,0,0,0,0,0,0,0,0,0
St. Louis Park Public School Dist.,Groves Academy,Hennepin,Private,251,8188,0,0,0,0,0,0,0,0,0,0,0
St. Louis Park Public School Dist.,Holy Family Academy,Hennepin,Private,190,511,0,10,10,10,10,10,10,10,10,10,10
St. Louis Park Public School Dist.,Heilicher Minneapolis Jewish Day Sc,Hennepin,Private,193,511,0,0,0,0,0,0,0,0,0,0,0
St. Louis Park Public School Dist.,Bais Yaakov High School,Hennepin,Private,32,3584,0,0,0,0,0,0,0,0,0,0,0
St. Louis Park Public School Dist.,Yeshiva Of Minneapolis,Hennepin,Private,73,7680,0,0,0,0,0,0,0,0,0,0,0
St. Louis Park Public School Dist.,Arete Academy,Hennepin,Private,22,8144,0,0,0,0,0,0,0,0,0,0,0
Wayzata Public School District,Blake Lower School-highcroft Campus,Hennepin,Private,214,63,0,0,0,0,0,0,0,0,0,0,0
Wayzata Public School District,Redeemer Christian Academy,Hennepin,Private,115,511,5,5,5,5,5,5,5,5,5,5,5
Wayzata Public School District,St. Bartholomew,Hennepin,Private,148,127,0,0,0,0,0,10,10,10,10,10,10
Wayzata Public School District,Providence Academy,Hennepin,Private,776,8191,5,25,30,30,40,50,50,50,55,65,65
Wayzata Public School District,West Lutheran High School,Hennepin,Private,144,7680,0,0,0,0,0,0,0,0,0,0,0
Wayzata Public School District,Fourth Baptist,Hennepin,Private,255,8191,0,0,0,0,0,0,0,0,0,0,0
Wayzata Public School District,Children's Workshop Montessori,Hennepin,Private,5,1,0,0,0,0,0,0,0,0,0,0,0
Wayzata Public School District,Brightmont Academy,Hennepin,Private,20,8000,0,0,0,0,0,0,0,0,0,0,0
Wayzata Public School District,Excel High School,Hennepin,Private,137,7680,0,0,0,0,0,0,0,0,0,0,0
Wayzata Public School District,Northgate Academy,Hennepin,Private,45,7680,0,0,0,0,0,0,0,0,0,0,0
Caledonia Public School District,St. John's Lutheran School,Houston,Private,55,511,0,0,0,0,0,0,0,0,0,0,0
Caledonia Public School District,St. Mary's Elementary,Houston,Private,102,511,0,0,0,0,0,0,0,0,0,0,0
La Crescent-hokah School District,Crucifixion,Houston,Private,98,127,0,0,0,0,5,5,5,5,5,5,5
La Crescent-hokah School District,St. Peter,Houston,Private,33,255,0,0,0,0,0,0,0,0,0,0,0
Grand Rapids Public School District,St. Joseph's Catholic School,Itasca,Private,164,127,0,0,0,0,0,0,0,0,5,5,5
Grand Rapids Public School District,Blackberry Seventh Day Adventist,Itasca,Private,7,125,0,0,0,0,0,0,0,0,0,0,0
Heron Lake-okabena School District,St. John's Lutheran School,Jackson,Private,13,463,0,0,0,0,0,0,0,0,0,0,0
Willmar Public School District,Community Christian,Kandiyohi,Private,193,8191,0,0,0,0,0,0,0,0,0,5,5
International Falls School District,St. Thomas Aquinas,Koochiching,Private,33,127,0,0,0,0,0,0,0,0,0,0,0
Marshall Public School District,Holy Redeemer,Lyon,Private,227,511,0,0,0,0,0,0,0,0,0,0,0
Marshall Public School District,Samuel Lutheran,Lyon,Private,57,511,0,0,0,0,0,0,0,0,0,0,0
Marshall Public School District,True Light Christian School,Lyon,Private,87,511,0,0,0,0,0,0,0,0,0,0,0
Marshall Public School District,Hope Academy Of Hope Harbor,Lyon,Private,5,6912,0,0,0,0,0,0,0,0,0,0,0
Minneota Public School District,St. Edward,Lyon,Private,41,511,0,0,0,0,0,0,0,0,0,0,0
Hutchinson Public School District,Northwoods Elementary,Mcleod,Private,56,511,0,0,0,0,0,0,0,0,0,0,0
Hutchinson Public School District,Immanuel Lutheran,Mcleod,Private,39,511,0,0,0,0,0,0,0,0,0,0,0
Hutchinson Public School District,Maplewood Academy,Mcleod,Private,72,7680,0,0,0,0,0,0,0,0,0,0,0
Hutchinson Public School District,St. Anastasia,Mcleod,Private,54,127,0,0,0,0,0,0,0,0,0,0,0
Mahnomen Public School District,St. Michael,Mahnomen,Private,42,127,0,0,0,0,0,0,0,0,0,0,0
Truman Public School District,St. Paul's Lutheran,Martin,Private,45,511,0,0,0,0,0,0,0,0,0,0,0
Litchfield Public School District,St. Philip,Meeker,Private,53,63,0,0,0,0,0,0,0,0,0,0,0
Princeton Public School District,Discovery Montessori Academy,Mille Lacs,Private,42,47,0,0,0,0,0,0,0,0,0,0,0
Little Falls Public School District,Mary Of Lourdes Elem/middle School,Morrison,Private,194,511,0,0,0,0,0,0,0,0,0,0,0
Pierz Public School District,Holy Trinity Catholic School,Morrison,Private,128,127,0,0,0,0,0,0,0,0,0,0,0
Austin Public School District,Pacelli Catholic Schools,Mower,Private,249,8191,0,0,0,0,0,0,0,0,0,0,0
Southland Public School District,Sacred Heart,Mower,Private,109,511,5,5,5,5,5,5,5,5,5,5,5
Nicollet Public School District,Immanuel Lutheran,Nicollet,Private,47,511,0,0,0,0,0,0,0,0,0,0,0
Nicollet Public School District,Trinity Evangelical Lutheran,Nicollet,Private,24,495,0,0,0,0,0,0,0,0,0,0,0
St. Peter Public School District,John Ireland,Nicollet,Private,61,127,0,0,0,0,0,0,0,0,0,0,0
St. Peter Public School District,St. Peter Evangelical Lutheran,Nicollet,Private,71,511,0,0,0,0,0,0,0,0,0,0,0
Worthington Public School District,St. Mary's,Nobles,Private,94,127,0,0,0,0,0,0,0,0,0,0,0
Worthington Public School District,Worthington Christian,Nobles,Private,85,511,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Rochester Arts & Sciences Academy,Olmsted,Private,79,63,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Rochester Central Lutheran,Olmsted,Private,281,511,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,St. Francis,Olmsted,Private,315,511,0,0,0,0,0,5,5,5,5,5,5
Rochester Public School District,St. John,Olmsted,Private,181,448,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,St. Pius X,Olmsted,Private,137,63,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Schaeffer Academy,Olmsted,Private,248,8191,0,0,5,5,5,5,5,15,25,35,35
Rochester Public School District,Rochester Montessori,Olmsted,Private,94,511,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Resurrection Lutheran,Olmsted,Private,123,511,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Holy Spirit,Olmsted,Private,135,63,5,5,5,5,5,10,10,10,10,10,10
Rochester Public School District,Victory Academy,Olmsted,Private,16,6023,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Rochester Pentecostal,Olmsted,Private,11,5067,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Rochester Adventist Elementary,Olmsted,Private,9,7,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Primrose School Of Rochester,Olmsted,Private,7,1,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Ambassador Academy,Olmsted,Private,10,124,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Seeds Of Wisdom,Olmsted,Private,9,855,0,0,0,0,0,0,0,0,0,0,0
Rochester Public School District,Lourdes,Olmsted,Private,339,7680,0,0,0,0,0,0,0,0,5,10,10
Fergus Falls Public School District,Hillcrest Lutheran Academy,Otter Tail,Private,160,8160,0,0,0,0,0,0,0,0,0,0,0
Fergus Falls Public School District,Our Lady Of Victory,Otter Tail,Private,111,127,0,0,5,5,5,5,5,5,5,5,5
Fergus Falls Public School District,Morning Son Christian,Otter Tail,Private,59,31,0,0,0,0,0,0,0,0,0,0,0
Fergus Falls Public School District,Twin Oaks Academy,Otter Tail,Private,5,7168,0,0,0,0,0,0,0,0,0,0,0
Perham-dent Public School District,St. Henry,Otter Tail,Private,108,127,0,0,0,0,0,0,0,0,0,0,0
Perham-dent Public School District,St. Paul's Lutheran,Otter Tail,Private,81,127,0,0,0,0,5,5,5,5,5,5,5
Thief River Falls School District,St. Bernard,Pennington,Private,62,63,0,0,0,0,0,0,0,0,0,0,0
Thief River Falls School District,St. Johns Lutheran School,Pennington,Private,16,479,0,0,0,0,0,0,0,0,0,0,0
Edgerton Public School District,Southwest Mn Christian Elementary,Pipestone,Private,263,511,0,0,0,0,0,0,0,0,0,0,0
Edgerton Public School District,Free Christian School,Pipestone,Private,17,255,0,0,0,0,0,0,0,0,0,0,0
Edgerton Public School District,Southwest Mn Christian High School,Pipestone,Private,121,7680,0,0,0,0,0,0,0,0,0,0,0
Crookston Public School District,Cathedral,Polk,Private,56,63,0,0,0,0,0,0,0,0,0,0,0
Crookston Public School District,Our Savior's Lutheran,Polk,Private,40,127,5,5,5,5,5,5,5,5,5,5,5
